Año,Indice de explosividad volcánica,Tipo de volcán,Flag Tsunami,Flag Terremoto,Nombre y pais
1979,,Volcán complejo,True,False,Iliwerung (Lesser Sunda Is)
1996,,Estratovolcán,False,False,Maderas (Nicaragua)
2002,4,Estratovolcán,False,False,Reventador (Ecuador)
2011,4,Estratovolcán,False,False,Tungurahua (Ecuador)
2016,,Caldera,False,False,Aso (Kyushu-Japan)
-1010,5,Estratovolcán,False,False,Tungurahua (Ecuador)
350,,Domo de lava,False,False,Augustine (Alaska-SW)
1311,4,Volcán subglacial,False,False,Katla (Iceland-S)
1587,4,Estratovolcán,False,False,Merapi (Java)
1716,2,Estratovolcán,False,False,Kelut (Java)
1729,1,Estratovolcán,False,False,Bardarbunga (Iceland-NE)
1742,3,Estratovolcán,False,False,Cotopaxi (Ecuador)
1772,3,Estratovolcán,True,False,Gamalama (Halmahera-Indonesia)
1775,3,Estratovolcán,False,False,Lokon-Empung (Sulawesi-Indonesia)
1840,3,Estratovolcán,False,False,Ararat (Turkey)
1871,3,Estratovolcán,False,False,Mayon (Luzon-Philippines)
1874,2,Estratovolcán,False,False,Taal (Luzon-Philippines)
1883,6,Caldera,True,False,Krakatau (Indonesia)
1885,2,Estratovolcán,False,False,Semeru (Java)
1919,0,Volcán en escudo,True,False,Mauna Loa (Hawaiian Is)
1939,1,Volcán complejo,False,False,Dieng Volc Complex (Java)
1952,2,volcán submarino,True,False,Myojun Knoll (Izu Is-Japan)
1952,1,Volcán compuesto,False,False,Ambalatungan Group (Luzon-Philippines)
1961,3,Estratovolcán,False,False,Calbuco (Chile-S)
1978,3,Estratovolcán,False,False,Semeru (Java)
